1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,68
2,2
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,37
4,4
5,5
5,5
5,88
5,5
5,5
6,6
6,6
6,6
6,6
6,6
7,7
7,7
7,7
7,7
7,7
8,41
8,58
8,8
8,8
8,43
9,522
9,43
9,49
9,73
9,9
10,40
10,10
10,10
10,10
10,10
11,11
11,11
11,11
11,11
11,11
12,12
12,12
12,43
12,38
12,75
13,13
13,13
13,236
13,41
13,13
14,14
14,14
14,304
14,14
14,14
15,142
15,38
15,15
15,15
15,15
16,46
16,250
16,16
16,16
16,16
17,17
17,164
17,17
17,523
17,17
18,18
18,18
18,785
18,18
18,59
19,72
19,75
19,19
19,19
19,19
20,20
20,306
20,20
20,20
20,103
21,82
21,53
21,21
21,21
21,21
22,22
22,22
22,22
22,22
22,266
23,23
23,1020
23,23
23,38
23,23
24,24
24,24
24,24
24,37
24,24
25,25
25,36
25,109
25,25
25,414
26,40
26,357
26,26
26,26
26,145
27,186
27,27
27,27
27,27
27,42
28,40
28,28
28,28
28,40
28,28
29,590
29,29
29,29
29,29
29,112
30,794
30,549
30,259
30,30
30,30
31,83
31,31
31,31
31,158
31,31
32,52
32,127
32,43
32,88
32,222
33,33
33,1934
33,170
33,51
33,85
34,34
34,34
34,218
34,34
34,495
35,81
35,35
35,130
35,58
35,62
36,45
36,81
36,36
36,95
36,185
37,37
37,37
37,746
37,109
37,37
38,38
38,38
38,156
38,459
38,1271
39,48
39,75
39,39
39,122
39,39
40,40
40,40
40,222
40,40
40,40
41,81
41,76
41,92
41,41
41,41
42,230
42,56
42,1349
42,42
42,42
43,74
43,58
43,73
43,43
43,1316
44,69
44,93
44,44
44,44
44,179
45,121
45,45
45,79
45,125
45,127
46,132
46,131
46,46
46,160
46,108
47,405
47,150
47,98
47,76
47,600
48,61
48,48
48,93
48,2861
48,110
49,49
49,49
49,49
49,100
49,141
50,73
50,81
50,491
50,50
50,50
51,59
51,157
51,51
51,51
51,549
52,140
52,52
52,118
52,82
52,77
53,53
53,64
53,2458
53,87
53,60
54,95
54,107
54,323
54,88
54,54
55,158
55,1318
55,120
55,347
55,98
56,550
56,447
56,11113
56,1706
56,90
57,57
57,135
57,316
57,125
57,57
58,58
58,149
58,181
58,88
58,112
59,223
59,172
59,615
59,634
59,59
60,60
60,60
60,523
60,86
60,194
61,232
61,364
61,83
61,537
61,632
62,62
62,226
62,172
62,95
62,216
63,3951
63,111
63,187
63,88
63,63
64,64
64,100
64,136
64,90
64,243
65,116
65,95
65,1313
65,118
65,65
66,138
66,103
66,73
66,66
66,66
67,94
67,67
67,384
67,102
67,289
68,206
68,83
68,193
68,68
68,1022
69,69
69,121
69,100
69,88
69,99
70,99
70,70
70,322
70,1009
70,1436
71,190
71,1993
71,101
71,71
71,129
72,95
72,107
72,472
72,446
72,101
73,884
73,406
73,73
73,143
73,90
74,77
74,107
74,741
74,127
74,401
75,102
75,2523
75,1112
75,138
75,156
76,114
76,229
76,88
76,394
76,76
77,142
77,123
77,161
77,108
77,134
78,803
78,92
78,78
78,331
78,97
79,967
79,181
79,296
79,287
